,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
30,-841.0869,9.137404,-17.307156,-2.2887015,-3.6529863,1.549171,0.596444,-2.1876807,-0.70852125,4.2269793,-0.58652335,-0.8035416,-0.2576901,0.4099994,1.7334191,0.130846,0.82668173,1.5583625,0.85570663,0.72373825,-0.46904433,0.26185498,0.90462655,-0.37157252,0.32263952,0.15829058,-0.001591021,0.42237815,0.43444592,0.22565049,0.4706718,0.99326456,0.24099755,0.09586707,-0.06413327,0.37902537,-0.18504603,-0.16057777,0.45028868,0.043550074
31,-692.2988,35.80754,-30.312864,7.102127,5.603368,3.0516288,1.9584314,-1.7167124,2.0692022,9.0895605,-0.901181,0.13610971,1.2108656,1.8403746,1.6563319,-0.6267893,-2.0229018,2.5952325,-0.17721799,-0.41261715,1.4421085,0.08059723,-0.14312945,-0.7699502,0.6753345,-0.8815385,1.3604459,0.09128315,0.294744,1.416805,0.24685197,0.14930068,0.19260669,0.82859117,0.6243767,0.04094181,0.15997909,1.3440149,0.47263643,0.3689855
32,-858.11633,10.815905,-16.317656,3.4131448,2.3037062,2.8231971,3.4203393,1.4887614,0.114328116,4.6580305,1.368083,0.41872954,-0.6610816,0.98153406,3.271219,-0.02304531,-0.5558314,2.2862697,0.94664925,-0.13207482,1.7038357,-0.22703981,-0.13442428,0.80664426,0.25672397,-0.9771734,-0.36514643,0.9803226,0.17639582,0.8290175,-0.28902557,1.1299157,0.36020768,0.029563181,0.095506966,-0.13540497,0.17174087,-0.13293569,0.4615949,-0.51636904
33,-895.93915,10.892603,-14.733019,4.0447774,2.9370804,3.0484562,1.586218,0.29901397,0.22649986,5.135569,0.93446016,1.5215065,-0.34783736,1.3261381,2.4106138,-0.47363207,0.67526525,2.8777874,1.2120935,-0.57362014,1.6889815,-0.7127411,0.47915882,0.8787933,-0.16088939,0.34523457,0.024898233,0.62680364,-0.33489195,0.7537929,-0.9160396,0.8229714,0.31211185,-0.2894934,0.19554761,0.16369033,-0.20895764,-0.5838408,0.9248999,-0.171075
34,-636.06836,42.28758,-35.76005,4.199147,6.704786,5.1581025,-2.7510505,-3.1312718,1.2148975,9.8217,1.3896573,2.9920325,5.0698705,3.760511,2.9786131,-2.3922827,2.3237216,5.1289215,5.079425,5.770735,1.2121674,0.6828496,-1.1309879,-1.0917107,1.2793509,2.3315647,1.6299431,1.8529465,3.2764406,1.1934152,0.9981798,0.77247405,0.4052545,0.99048644,1.0803715,1.5561081,0.40004304,1.3771651,-0.5993742,0.05646472
35,-767.84796,3.706952,-26.492462,7.2708673,1.570253,3.849218,4.5612483,-3.356864,0.84659696,6.9001594,0.30444735,1.5027057,0.48003113,0.51954055,2.8514805,-0.14569932,-0.121027075,1.2671424,0.27985233,1.2163264,0.8665544,-0.9404084,1.3794893,0.09792898,-0.94606876,0.20036711,0.25260633,0.06626612,0.20331238,0.7110755,-0.54133654,-0.004471329,-0.39408997,-0.47531417,-0.70220107,-0.41213056,0.39785236,0.021210523,0.1344754,0.13632584
36,-631.118,32.98831,-21.769049,16.923607,8.728818,16.652245,5.551431,2.8905454,9.743055,11.269515,5.9316845,4.6098437,4.2678156,7.2747784,7.8879724,5.942312,7.0352073,4.9251266,1.8122808,3.3097458,3.1817858,0.8805577,0.13378547,1.7510588,-1.1112268,-1.5026327,-0.10784141,-1.1796423,-1.1906712,-1.5611159,-1.098024,-0.56527954,-0.77952695,0.603619,-0.4312591,-0.4942051,0.33193883,-0.5359418,0.71070945,0.8898514
37,-650.28094,47.578682,-25.13158,0.52859306,0.46901476,6.301908,1.1048704,-2.413847,-4.2486596,7.501422,0.6798327,-2.2988522,-0.7138552,1.2322958,5.5921702,0.43384886,1.2441826,4.08594,1.5883465,2.6734493,1.2149913,1.0776315,0.36054215,-0.507222,1.2548033,-0.6739625,0.12028888,0.7539932,1.4785753,0.32239833,0.79796576,2.3375804,1.1840122,1.6498348,1.1929163,2.3051221,1.0380456,1.4868475,2.4293656,-0.08568815
38,-702.0033,29.245481,-31.026106,7.1724787,4.156975,6.515123,-1.6480412,-4.7505507,1.6824489,6.8087716,4.038982,2.2254157,0.46142706,2.9871001,5.5521703,0.16494125,2.7186372,4.6401925,1.2910764,2.5761409,1.4195061,0.99293387,0.7638939,0.9982952,0.68033427,0.90258,1.3634379,0.27239335,0.040886033,-0.15783364,-0.029880268,-0.008747289,1.1234058,1.6815863,0.07915721,0.86905307,0.4775087,-0.05321199,0.5360481,1.8177838
39,-638.1596,33.780792,-33.90651,13.960711,10.843326,12.823955,9.072266,0.54956114,2.6433666,10.784188,2.6794453,2.3046162,3.9867425,5.022601,4.1112566,-0.18733604,1.435068,2.5092359,0.8430391,2.2012053,1.3145142,1.4762195,2.6968577,1.2900748,0.85491604,0.7466607,0.3435993,1.0450846,1.260599,0.6816797,-0.21662582,0.31693676,-0.30226117,0.5093053,0.75153834,0.32978997,-0.23938654,0.4234956,0.6664837,0.15957849
