Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,gamma,kernel,probability,best_accuracy_cv_mean,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_precision_macro_mean,cv_precision_macro_std,cv_recall_macro_mean,cv_recall_macro_std,test_accuracy,test_auc_macro_ovr,test_f1_macro,test_precision_macro,test_recall_macro
2025-04-19 14:48:28,1.4s,cf38981092ff4dcdb2b33cac2d6ccb83,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10,0.01,rbf,True,,0.9907244052392408,0.008694546124915143,0.9906271533368308,0.008717431709224966,0.9909666322669419,0.00871647485183061,0.9909365325077399,0.00808875003917031,,,,,
2025-04-19 14:48:26,1.8s,10b47eda085e4b66aefdb53b930c8891,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10,auto,rbf,True,,0.9883988238438921,0.010400453580250277,0.9882574656768206,0.010568472715059873,0.9889783281733747,0.010002635544920653,0.98843653250774,0.010373550006380532,,,,,
2025-04-19 14:48:25,1.3s,56efb758124043f0b137e890fbd34356,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10,scale,rbf,True,,0.9907244052392408,0.008694546124915143,0.9906271533368308,0.008717431709224966,0.9909666322669419,0.00871647485183061,0.9909365325077399,0.00808875003917031,,,,,
2025-04-19 14:48:17,7.1s,bce5e2ce30454fe4adda61a392386db6,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,5,1,rbf,True,,0.5925153702218658,0.043759700515692675,0.5680136603241166,0.04199873413494505,0.8299485895954899,0.08115348486795546,0.5758366013071895,0.04449175010320373,,,,,
2025-04-19 14:48:13,4.3s,0f811c0cf41b410aa88201182ac9a982,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,5,0.1,rbf,True,,0.9883720930232558,0.010400316174417645,0.9882669908628163,0.01049115760965304,0.9891228070175438,0.009684323529583318,0.98843653250774,0.010373550006380532,,,,,
2025-04-19 14:48:12,1.3s,542104937cf34101a9a3bafd195b86fc,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,5,0.01,rbf,True,,0.9953488372093023,0.005696487773914378,0.9952736179832954,0.005792841673498965,0.9954248366013072,0.005607218454778337,0.9953947368421051,0.005674699645486241,,,,,
2025-04-19 14:48:10,1.9s,9afe5a9ac0874133a90df450d66499ec,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,5,auto,rbf,True,,0.969901095963646,0.017403878755865406,0.9694879034248682,0.0177507259572435,0.9723968745392894,0.015880467047709186,0.9697815617475062,0.017649776393709793,,,,,
2025-04-19 14:48:09,1.3s,f67802c07de84c248260ea8ed6ddd022,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,5,scale,rbf,True,,0.9953488372093023,0.005696487773914378,0.9952736179832954,0.005792841673498965,0.9954248366013072,0.005607218454778337,0.9953947368421051,0.005674699645486241,,,,,
2025-04-19 14:48:02,6.9s,8d370d8b6101475197e84a26be63581e,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,1,1,rbf,True,,0.5485966319165998,0.05154223498755767,0.5129946022912483,0.05760377338120887,0.745457535680165,0.10236574130341317,0.5307352941176471,0.05300338272255197,,,,,
2025-04-19 14:47:57,4.3s,a4d6fc6cb54d48e392bb72861cb7fea9,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,1,0.1,rbf,True,,0.9883988238438921,0.010400453580250277,0.9883287669245924,0.01049163850068169,0.9892397660818715,0.009684323529583318,0.98843653250774,0.010373550006380532,,,,,
2025-04-19 14:47:56,1.8s,abbf2d6a9a434c52835021011c0a808c,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,1,0.01,rbf,True,,0.986073242448543,0.013565042117249217,0.9859102965061218,0.013699138097093158,0.9868868249054008,0.013033427002719498,0.9863312693498452,0.012856649901614113,,,,,
2025-04-19 14:47:52,3.3s,aa2e47425c4f4e75b295fdb405bdfba2,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,1,auto,rbf,True,,0.8518845228548516,0.01675628053272337,0.8491513957784587,0.017437856723090103,0.8693829775958326,0.01758010047981386,0.8512774337805297,0.017335345798047606,,,,,
2025-04-19 14:47:50,2.0s,caa05fe9aeac468a820bf38df8904bbb,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,1,scale,rbf,True,,0.9837743918738304,0.011879316238743347,0.9835388928443958,0.011972295393723992,0.984781561747506,0.011505884688793315,0.9838312693498452,0.011043088039217122,,,,,
2025-04-19 14:47:43,6.8s,cf11e10444ae4679948d53b9c680dd24,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,0.1,1,rbf,True,,0.2176156107992515,0.005449023859268953,0.07148247978436659,0.0014793563436837907,0.04352312215985031,0.00108980477185379,0.2,0,,,,,
2025-04-19 14:47:38,5.7s,696daf0a23f4430da6994b9f490b3dd7,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,0.1,0.1,rbf,True,,0.9375568029938519,0.021298509989618238,0.936958853439012,0.021003897338461246,0.941765688731633,0.019358809184635176,0.9378467492260061,0.020428855342334205,,,,,
2025-04-19 14:47:34,4.1s,2bfa3b0aea6f4e6486e1140d21996997,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,0.1,0.01,rbf,True,,0.8727612937717186,0.023915794985537607,0.871360793481886,0.024245225180554133,0.8832189647970372,0.022227327015208655,0.8723395252837977,0.02400693685837703,,,,,
2025-04-19 14:47:27,6.5s,8b9045324f21441a89e2e71c4d760134,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,0.1,auto,rbf,True,,0.5301523656776264,0.01703439241402951,0.402054739057269,0.021071380624700237,0.4091214206561292,0.09185337394000773,0.5118384932920537,0.012465051622518077,,,,,
2025-04-19 14:47:23,4.1s,cc5dc0b7b85d4ffab1186d94fa5ac5d4,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,0.1,scale,rbf,True,,0.8727612937717186,0.023915794985537607,0.871360793481886,0.024245225180554133,0.8832189647970372,0.022227327015208655,0.8723395252837977,0.02400693685837703,,,,,
2025-04-19 14:47:22,0.7s,5c2f0bc16cf64474ab765f7a3274428b,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,20,1,poly,True,,0.9883988238438921,0.010400453580250277,0.9881887894942925,0.010492635530023393,0.9891228070175438,0.009684323529583318,0.9882894736842104,0.010380569959640028,,,,,
2025-04-19 14:47:22,0.8s,f87bb4f55cd24d928893571128b17a70,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,20,0.1,poly,True,,0.9883988238438921,0.010400453580250277,0.9881887894942925,0.010492635530023393,0.9891228070175438,0.009684323529583318,0.9882894736842104,0.010380569959640028,,,,,
2025-04-19 14:47:21,0.9s,e37e651163e8427abf6be3dc6a2d0443,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,20,0.01,poly,True,,0.9860999732691793,0.011349744016290006,0.9860924636356575,0.011364893862649281,0.9873450292397662,0.010356631036981442,0.9860835913312694,0.011432535704876356,,,,,
2025-04-19 14:47:18,2.6s,58e898ffac19479d8f904cf6b013b6ad,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,20,auto,poly,True,,0.6944934509489441,0.027340860400170645,0.6411012609707191,0.025118315307481414,0.6439527809148741,0.02135852556069587,0.6937316821465428,0.02773180134263879,,,,,
2025-04-19 14:47:17,0.9s,0a01f9544a1a4094927761d794413da9,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,20,scale,poly,True,,0.9837743918738304,0.013927142346821826,0.9837992613424552,0.013832139492827652,0.9852397660818714,0.01285579644917424,0.9837306501547989,0.01365395279114584,,,,,
2025-04-19 14:47:16,0.7s,d00abb19ec2746c5804a0ac7c387f96b,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10,1,poly,True,,0.9883988238438921,0.010400453580250277,0.9881887894942925,0.010492635530023393,0.9891228070175438,0.009684323529583318,0.9882894736842104,0.010380569959640028,,,,,
2025-04-19 14:47:16,0.7s,cb8a494c8add44a3bedef193c03ab60a,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10,0.1,poly,True,,0.9883988238438921,0.010400453580250277,0.9881887894942925,0.010492635530023393,0.9891228070175438,0.009684323529583318,0.9882894736842104,0.010380569959640028,,,,,
2025-04-19 14:47:15,1.0s,ced424f54b30489b800db72a47b1cf04,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10,0.01,poly,True,,0.9537022186581128,0.014668524123798094,0.9541791262223199,0.014770696825575339,0.956545604206595,0.014513570141564567,0.9540574475404198,0.01470804917480179,,,,,
2025-04-19 14:47:12,3.0s,5c4b76cff04d4de59c3c7d59b367e6bb,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10,auto,poly,True,,0.6504945201817696,0.021834024903022338,0.6001867110462131,0.02013941632597915,0.6238790652711742,0.017593846814200568,0.6477982456140352,0.02141865802780345,,,,,
2025-04-19 14:47:11,1.0s,6746c47010cb46288dbb55b053d25332,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10,scale,poly,True,,0.9467789361133386,0.02139608088314196,0.947206298986335,0.021454124601496687,0.9507539928252002,0.020183793969750643,0.9472600619195047,0.020964801862063905,,,,,
2025-04-19 14:47:10,0.9s,92312ddd3502436590041b93cd74a6a5,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,5,1,poly,True,,0.9883988238438921,0.010400453580250277,0.9881887894942925,0.010492635530023393,0.9891228070175438,0.009684323529583318,0.9882894736842104,0.010380569959640028,,,,,
2025-04-19 14:47:09,0.7s,83abd08c9a9f49e6b02720ed1e25f404,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,5,0.1,poly,True,,0.9883988238438921,0.010400453580250277,0.9881887894942925,0.010492635530023393,0.9891228070175438,0.009684323529583318,0.9882894736842104,0.010380569959640028,,,,,
2025-04-19 14:47:08,1.0s,450af2f7b19a4398b0dd7016b1b88f55,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,5,0.01,poly,True,,0.9282544774124565,0.0224356476862385,0.9282838093805836,0.023011515963185666,0.9360407043936456,0.02098444805247964,0.928828689370485,0.022600776532661678,,,,,
2025-04-19 14:47:05,3.2s,097c4f0722a94887a81b02eb72e0ec5d,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,5,auto,poly,True,,0.594894413258487,0.024397201104124657,0.5445179658623762,0.026708637426822137,0.6094022552138633,0.013275546014649432,0.5893498452012385,0.027239815749779187,,,,,
